En_Id	En_Sentence	El_Id	El_Sentence
1031	Because it's one of those things that goes deep with people, am I right?	3198	Διότι είναι ένα από αυτά τα πράγματα που πάει βαθιά στους ανθρώπους, δεν έχω δίκιο;
1032	Like religion, and money and other things.	3199	Όπως η θρησκεία και το χρήμα και άλλα πράγματα.
1033	So I have a big interest in education, and I think we all do.	3200	Έχω μεγάλο ενδιαφέρον για την εκπαίδευση, και νομίζω ότι όλοι έχουμε.
1034	We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.	3201	Έχουμε τεράστιο δικαιωματικό ενδιαφέρον γι' αυτή, εν μέρει επειδή η εκπαίδευση είναι προορισμένη να μας πάει σε ένα μέλλον που δεν μπορούμε να συλλάβουμε.
1035	If you think of it, children starting school this year will be retiring in 2065.	3202	Αν το σκεφτείτε, τα παιδιά που ξεκινούν το σχολείο φέτος θα συνταξιοδοτηθούν το 2065.
1036	Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time.	3203	Κανένας δεν έχει την παραμικρή ιδέα - παρ' όλη τη γνώση που παρελαύνει εδώ τις τελευταίες τέσσερις ημέρες - για το πώς θα είναι ο κόσμος σε πέντε χρόνια.
1037	And yet we're meant to be educating them for it.	3204	Ωστόσο, πρέπει να τα εκπαιδεύσουμε γι' αυτόν.
1038	So the unpredictability, I think, is extraordinary.	3205	Έτσι η μη προβλεψιμότητα, νομίζω, είναι εντυπωσιακή.
1039	And the third part of this is that we've all agreed, nonetheless, on the really extraordinary capacities that children have -- their capacities for innovation.	3206	Και το τρίτο μέρος της είναι αυτό, στο οποίο όλοι συμφωνήσαμε, οι πραγματικά εντυπωσιακές ικανότητες που έχουν τα παιδιά - οι ικανότητές τους για καινοτομία.
1040	I mean, Sirena last night was a marvel, wasn't she?	3207	Η Σερίνα, για παράδειγμα, χθες το βράδυ ήταν θαύμα, δεν ήταν;
1041	Just seeing what she could do.	3208	Και μόνο το να βλέπεις τι μπορούσε να κάνει.
1042	And she's exceptional, but I think she's not, so to speak, exceptional in the whole of childhood.	3209	Και είναι ξεχωριστή, αλλά νομίζω οτι δεν είναι, θα λέγαμε, ξεχωριστή μέσα σε ολόκληρη την παιδική ηλικία.
1043	What you have there is a person of extraordinary dedication who found a talent.	3210	Αυτό που έχετε είναι ένα άτομο εξαιρετικής αφοσίωσης που βρήκε ένα ταλέντο.
1044	And my contention is, all kids have tremendous talents.	3211	Και ο ισχυρισμός μου είναι ότι όλα τα παιδιά έχουν τρομερά ταλέντα.
1045	And we squander them, pretty ruthlessly.	3212	Και τα σπαταλάμε αλύπητα.
1046	So I want to talk about education and I want to talk about creativity.	3213	Έτσι θέλω να μιλήσω για την εκπαίδευση και θέλω να μιλήσω και για τη δημιουργικότητα.
1047	My contention is that creativity now is as important in education as literacy, and we should treat it with the same status.	3214	Ο ισχυρισμός μου είναι ότι η δημιουργικότητα είναι σήμερα τόσο σημαντική για την εκπαίδευση όσο και ο αλφαβητισμός, και πρέπει να την αντιμετωπίζουμε με την ίδια τακτική.
1048	Thank you.	3215	Ευχαριστώ.
1049	That was it, by the way.	3216	Αυτό ήταν, λοιπόν.
1050	Thank you very much.	3217	Ευχαριστώ πάρα πολύ.
1051	So, 15 minutes left.	3218	Λοιπόν, έχω ακόμη 15 λεπτά.
1052	Well, I was born...no.	3219	Που λέτε, γεννήθηκα - όχι εντάξει.
1053	I heard a great story recently -- I love telling it -- of a little girl who was in a drawing lesson.	3220	Άκουσα μια φοβερή ιστορία πρόσφατα - που λατρεύω να τη διηγούμαι - για ένα μικρό κορίτσι σε κάποιο μάθημα ζωγραφικής.
1054	She was six, and she was at the back, drawing, and the teacher said this girl hardly ever paid attention, and in this drawing lesson, she did.	3221	Ήταν έξι ετών και καθόταν στο πίσω μέρος της αίθουσας και ζωγράφιζε και η δασκάλα είπε ότι το κοριτσάκι σπάνια πρόσεχε, αλλά σε αυτό το μάθημα ζωγραφικής το έκανε.
1055	The teacher was fascinated.	3222	Η δασκάλα ήταν εντυπωσιασμένη και πήγε προς τα εκεί και τη ρώτησε: «Τι ζωγραφίζεις;»
1056	She went over to her, and she said, 'What are you drawing?'		
1057	And the girl said, 'I'm drawing a picture of God.'	3223	Και το κοριτσάκι είπε: «Ζωγραφίζω μία εικόνα του Θεού».
1058	And the teacher said, 'But nobody knows what God looks like.'	3224	Και η δασκάλα είπε, «Μα κανείς δεν ξέρει πώς είναι ο Θεός».
1059	And the girl said, 'They will, in a minute.'	3225	Και το κοριτσάκι απάντησε, «Θα μάθουν σε ένα λεπτό».
1060	When my son was four in England --	3226	Όταν ο γιος μου ήταν τεσσάρων ετών στην Αγγλία - στην πραγματικότητα ήταν τεσσάρων παντού, για να είμαι ειλικρινής.
1061	Actually, he was four everywhere, to be honest.		
1062	If we're being strict about it, wherever he went, he was four that year.	3227	Αν θέλουμε να είμαστε ακριβείς, όπου και να πήγαινε ήταν τεσσάρων εκείνη τη χρονιά.
1063	He was in the Nativity play.	3228	Ήταν στη θεατρική παράσταση της Γέννησης.
1064	Do you remember the story?	3229	Θυμάστε την ιστορία;
1065	No, it was big, it was a big story.	3230	Όχι, ήταν σημαντικό.
		3231	Ήταν μεγάλη ιστορία.
1066	Mel Gibson did the sequel, you may have seen it.	3232	Ο Μελ Γκίμπσον γύρισε τη συνέχεια.
		3233	Μπορεί να τη έχετε δει: «Η Γέννηση 2».
1067	Nativity II.'		
1068	But James got the part of Joseph, which we were thrilled about.	3234	Αλλά ο Τζέιμς πήρε το ρόλο του Ιωσήφ, για τον οποίο ήμασταν όλοι ενθουσιασμένοι.
1069	We considered this to be one of the lead parts.	3235	Τον θεωρούσαμε από τους πρωταγωνιστικούς ρόλους.
1070	We had the place crammed full of agents in T-shirts:	3236	Είχαμε γεμίσει το μέρος με ατζέντηδες που φορούσαν μπλουζάκια με το σλόγκαν: «Ο Τζέιμς Ρόμπινσον ΕΙΝΑΙ ο Ιωσήφ!»
1071	James Robinson IS Joseph!'		
1072	He didn't have to speak, but you know the bit where the three kings come in?	3237	Δεν χρειαζόταν να μιλήσει, αλλά γνωρίζετε το σημείο όπου οι τρεις μάγοι έρχονται φέρνοντας δώρα.
1073	They come in bearing gifts, gold, frankincense and myrrh.		
		3238	Φέρνουν σμύρνα, λιβάνι και χρυσάφι.
1074	This really happened.	3239	Αυτό συνέβη στ' αλήθεια.
1075	We were sitting there and I think they just went out of sequence, because we talked to the little boy afterward and we said, 'You OK with that?'	3240	Καθόμασταν εκεί και νομίζω μπερδεύτηκαν, γιατί μιλήσαμε με το αγοράκι λίγο αργότερα και του είπαμε «Είσαι εντάξει με αυτό;»
1076	And he said, 'Yeah, why?Was that wrong?'	3241	Και είπε: «Ναι, γιατί;
		3242	Ήταν λάθος;»
1077	They just switched.	3243	Απλά αλλάξανε σειρά, αυτό ήταν.
1078	The three boys came in, four-year-olds with tea towels on their heads, and they put these boxes down, and the first boy said, 'I bring you gold.'	3244	Τέλος πάντων, τα τρία αγοράκια βγήκαν, τετράχρονα με πετσέτες στα κεφάλια τους, και ακούμπησαν αυτά τα κουτιά κάτω, και το πρώτο αγόρι είπε, «Σου φέρνω χρυσό».Και το δεύτερο αγόρι είπε, «Σου φέρνω σμύρνα».
1079	And the second boy said, 'I bring you myrrh.'		
1080	And the third boy said, 'Frank sent this.'	3245	Και το τρίτο αγόρι είπε, «Ο Φρανκ έστειλε αυτό».
1081	What these things have in common is that kids will take a chance.	3246	Αυτό που έχουν κοινό αυτά τα παραδείγματα είναι ότι τα παιδιά θα ρισκάρουν.
1082	If they don't know, they'll have a go.	3247	Εάν δεν ξέρουν, θα κάνουν μια προσπάθεια.
1083	Am I right?	3248	Δεν έχω δίκιο;
1084	They're not frightened of being wrong.	3249	Δεν φοβούνται να κάνουν λάθος.
1085	I don't mean to say that being wrong is the same thing as being creative.	3250	Δεν εννοώ ότι το να κάνεις λάθος είναι το ίδιο πράγμα με το να είσαι δημιουργικός.
1086	What we do know is, if you're not prepared to be wrong, you'll never come up with anything original -- if you're not prepared to be wrong.	3251	Αυτό που ξέρουμε είναι ότι αν δεν είσαι προετοιμασμένος να κάνεις λάθος, δεν θα σκεφτείς ποτέ κάτι πρωτότυπο.
		3252	Αν δεν είσαι προετοιμασμένος να κάνεις λάθος.
1087	And by the time they get to be adults, most kids have lost that capacity.	3253	Και μέχρι να φτάσουν στην ενηλικίωση, τα περισσότερα παιδιά έχουν χάσει αυτή την ικανότητα.
1088	They have become frightened of being wrong.	3254	Φοβούνται να κάνουν λάθος.
1089	And we run our companies like this.	3255	Διοικούμε τις εταιρίες μας με αυτό τον τρόπο.
1090	We stigmatize mistakes.	3256	Στιγματίζουμε τα λάθη.
1091	And we're now running national education systems where mistakes are the worst thing you can make.	3257	Και διευθύνουμε σήμερα εθνικά εκπαιδευτικά συστήματα όπου τα λάθη είναι το χειρότερο πράγμα που μπορείς να κάνεις.
1092	And the result is that we are educating people out of their creative capacities.	3258	Το αποτέλεσμα είναι ότι εκπαιδεύουμε τους ανθρώπους κάνοντάς τους να ξεχνούν τις δημιουργικές του ικανότητες.
1093	Picasso once said this, he said that all children are born artists.	3259	Ο Πικάσο κάποτε είπε αυτό: είπε ότι όλα τα παιδιά γεννιούνται καλλιτέχνες.
1094	The problem is to remain an artist as we grow up.	3260	Το ζήτημα είναι να παραμείνουν καλλιτέχνες καθώς μεγαλώνουν.
1095	I believe this passionately, that we don't grow into creativity, we grow out of it.	3261	Το πιστεύω αυτό ακράδαντα: ότι δεν μεγαλώνουμε ώστε να γίνουμε δημιουργικοί, μεγαλώνουμε ώστε να την ξεχάσουμε.
1096	Or rather, we get educated out of it.	3262	Ή αλλιώς, εκπαιδευόμαστε να την ξεχάσουμε.
1097	So why is this?	3263	Γιατί συμβαίνει αυτό;
1098	I lived in Stratford-on-Avon until about five years ago.	3264	Ζούσα στο Στράτφορντ μέχρι πριν από πέντε χρόνια περίπου.
1099	In fact, we moved from Stratford to Los Angeles.	3265	Στην πραγματικότητα, μετακομίσαμε από το Στράτφορντ στο Λος ʼντζελες.
1100	So you can imagine what a seamless transition that was.	3266	Οπότε καταλαβαίνετε πόσο ομαλή ήταν αυτή η αλλαγή.
1101	Actually, we lived in a place called Snitterfield, just outside Stratford, which is where Shakespeare's father was born.	3267	Στη πραγματικότητα, ζούσαμε σε ένα μέρος που λέγεται Σνίδερφιλντ, ακριβώς έξω από το Στράτφορντ, όπου γεννήθηκε ο πατέρας του Σέξπιρ.
1102	Are you struck by a new thought?	3268	Έχετε σοκαριστεί με τη σκέψη;
1103	I was.	3269	Εγώ είχα.
1104	You don't think of Shakespeare having a father, do you?	3270	Δεν είχατε σκεφτεί τον Σέξπιρ να έχει πατέρα, έτσι δεν είναι;
1105	Do you?		
1106	Because you don't think of Shakespeare being a child, do you?	3271	Διότι δεν φαντάζεστε τον Σέξπιρ σαν παιδί, έτσι δεν είναι;
1107	Shakespeare being seven?	3272	Ο Σέξπιρ εφτά χρονών;
1108	I never thought of it.	3273	Δεν το είχα σκεφτεί ποτέ.
1109	I mean, he was seven at some point.	3274	Εννοώ, ήταν εφτά κάποτε.
1110	He was in somebody's English class, wasn't he?	3275	Ήταν στο τμήμα Αγγλικών κάποιου, όχι;
1111	How annoying would that be?	3276	Πόσο ενοχλητικό πρέπει να ήταν αυτό;
1112	Must try harder.'	3277	«Πρέπει να προσπαθήσει περισσότερο».
1113	Being sent to bed by his dad, you know, to Shakespeare, 'Go to bed, now!	3278	Να τον έστελνε ο μπαμπάς του για ύπνο, ξέρετε, στον Σέξπιρ: «Πήγαινε για ύπνο, τώρα!»στον Γουίλιαμ Σέξπιρ: «και βάλε κάτω το μολύβι τώρα.
1114	And put the pencil down.'		
1115	And stop speaking like that.'	3279	Και σταμάτα να μιλάς έτσι.
1116	It's confusing everybody.'	3280	Τους μπερδεύεις όλους».
1117	Anyway, we moved from Stratford to Los Angeles, and I just want to say a word about the transition.	3281	Τέλος πάντων, μετακομίσαμε από το Στράτφορντ στο Λος ʼντζελες, και θέλω να πω λίγα λόγια γι' αυτή τη μετάβαση.
1118	My son didn't want to come.	3282	Ο γιος μου δεν ήθελε να έρθει.
1119	I've got two kids; he's 21 now, my daughter's 16.	3283	Έχουμε δύο παιδιά.
		3284	Εκείνος είναι τώρα 21 και η κόρη μου 16.
1120	He didn't want to come to Los Angeles.	3285	Δεν ήθελε να έρθει στο Λος Άντζελες.
1121	He loved it, but he had a girlfriend in England.	3286	Το λάτρευε, αλλά είχε μια κοπέλα στην Αγγλία.
1122	This was the love of his life, Sarah.	3287	Ήταν ο έρωτας της ζωής του, η Σάρα.
1123	He'd known her for a month.	3288	Την ήξερε ένα μήνα.
1124	Mind you, they'd had their fourth anniversary, because it's a long time when you're 16.	3289	Προσέξτε, είχαν την τέταρτη επέτειό τους, γιατί είναι πολύς καιρός όταν είσαι 16.
1125	He was really upset on the plane, he said, 'I'll never find another girl like Sarah.'	3290	Τέλος πάντων, ήταν πολύ ταραγμένος στο αεροπλάνο, και είπε: «Δεν θα ξαναβρώ ποτέ πια κάποια σαν τη Σάρα».
1126	And we were rather pleased about that, frankly --	3291	Και ήμασταν μάλλον χαρούμενοι μ' αυτό, ειλικρινά, επειδή εκείνη ήταν ο κύριος λόγος που φύγαμε από τη χώρα.
1127	Because she was the main reason we were leaving the country.		
1128	But something strikes you when you move to America and travel around the world:	3292	Αλλά κάτι σου κάνει εντύπωση όταν πας στην Αμερική και όταν ταξιδεύεις σε όλο τον κόσμο: Όλα τα εκπαιδευτικά συστήματα στον κόσμο έχουν την ίδια ιεραρχία θεμάτων.
1129	Every education system on Earth has the same hierarchy of subjects.		
1130	Every one.	3293	Όλα!
1131	Doesn't matter where you go.	3294	Δεν έχει σημασία το πού βρίσκεσαι.
1132	You'd think it would be otherwise, but it isn't.	3295	Θα περίμενες να είναι διαφορετικά, αλλά δεν είναι.
1133	At the top are mathematics and languages, then the humanities, and at the bottom are the arts.	3296	Στην κορυφή βρίσκονται τα μαθηματικά και οι γλώσσες, μετά οι ανθρωπιστικές επιστήμες, και στο τέλος είναι βρίσκονται τα μαθηματικά και οι γλώσσες, μετά οι ανθρωπιστικές επιστήμες, και στο τέλος είναι οι τέχνες.
1134	Everywhere on Earth.	3297	Παντού στη Γη.
1135	And in pretty much every system too, there's a hierarchy within the arts.	3298	Και σχεδόν σε κάθε σύστημα, υπάρχει ιεραρχία μέσα στις ίδιες τις τέχνες.
1136	Art and music are normally given a higher status in schools than drama and dance.	3299	Τα εικαστικά και η μουσική συνήθως βρίσκονται ιεραρχικά πιο ψηλά στα σχολεία απ΄ ό,τι το θέατρο και ο χορός.
1137	There isn't an education system on the planet that teaches dance every day to children the way we teach them mathematics.	3300	Δεν υπάρχει ούτε ένα εκπαιδευτικό σύστημα στον πλανήτη που να διδάσκει καθημερινά χορό στα παιδιά με τον τρόπο που τους διδάσκουμε μαθηματικά.
1138	Why?	3301	Γιατί;
1139	Why not?	3302	Γιατί όχι;
1140	I think this is rather important.	3303	Νομίζω ότι αυτό είναι σημαντικό.
1141	I think math is very important, but so is dance.	3304	Πιστεύω ότι τα μαθηματικά είναι σημαντικά, αλλά το ίδιο και ο χορός.
1142	Children dance all the time if they're allowed to, we all do.	3305	Τα παιδιά χορεύουν όλη την ώρα αν αυτό τους επιτρέπεται, όλοι το κάνουμε.
1143	We all have bodies, don't we?	3306	Όλοι έχουμε σώματα, δεν έχουμε;
1144	Did I miss a meeting?	3307	Έχασα κάτι;
1145	Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up.	3308	Ειλικρινά, αυτό που συμβαίνει είναι ότι, όταν τα παιδιά μεγαλώνουν, τα εκπαιδεύουμε προοδευτικά από τη μέση και πάνω.
1146	And then we focus on their heads.	3309	Και επικεντρωνόμαστε στο κεφάλι τους.
1147	And slightly to one side.	3310	Και ελαφρώς προς τη μία μεριά.
1148	If you were to visit education, as an alien, and say 'What's it for, public education?'	3311	Εάν συνέβαινε να επισκεφτείτε την εκπαίδευση, σαν εξωγήινος, και να ρωτήσετε: «Πού χρησιμεύει αυτό: η δημόσια εκπαίδευση;»
1149	I think you'd have to conclude, if you look at the output, who really succeeds by this, who does everything that they should, who gets all the brownie points, who are the winners --	3312	Νομίζω ότι θα καταλήγατε - αν βλέπατε το αποτέλεσμα, ποιος πραγματικά ωφελείται από αυτό, ποιος κάνει όλα αυτά που πρέπει, ποιος παίρνει όλους τους πόντους, ποιοι είναι οι νικητές - νομίζω ότι θα καταλήγατε στο ότι ο συνολικός σκοπός της δημόσιας εκπαίδευσης σε όλο τον κόσμο είναι το να παράγει καθηγητές πανεπιστημίου.
1150	I think you'd have to conclude the whole purpose of public education throughout the world is to produce university professors.		
1151	Isn't it?	3313	Αυτό δεν είναι;
1152	They're the people who come out the come out the top.	3314	Αυτοί είναι οι άνθρωποι που βγαίνουν από την κορυφή.
1153	And I used to be one, so there.	3315	Και ήμουν κι εγώ ένας από αυτούς, ορίστε λοιπόν.
1154	And I like university professors, but you know, we shouldn't hold them up as the high-water mark of all human achievement.	3316	Συμπαθώ τους καθηγητές πανεπιστημίου, αλλά ξέρετε, δεν θα έπρεπε να τους θεωρούμε σαν το υψηλότερο δείγμα ανθρώπινου επιτεύγματος.
1155	They're just a form of life, another form of life.	3317	Είναι απλά μια μορφή ζωής, άλλη μία μορφή ζωής.
1156	But they're rather curious, and I say this out of affection for them.	3318	Αλλά είναι μάλλον περίεργοι και το λέω γιατί τους συμπαθώ.
1157	There's something curious about professors in my experience -- not all of them, but typically, they live in their heads.	3319	Υπάρχει κάτι περίεργο σχετικά με τους καθηγητές από την εμπειρία μου - όχι όλοι τους, αλλά τυπικά - ζουν μέσα στο κεφάλι τους.
1158	They live up there, and slightly to one side.	3320	Ζουν εκεί πάνω και ελαφρώς προς τη μία πλευρά.
1159	They're disembodied, you know, in a kind of literal way.	3321	Έχουν αποσυνδεθεί από το σώμα τους, με την κυριολεκτική σημασία.
1160	They look upon their body as a form of transport for their heads.	3322	Βλέπουν το σώμα τους σαν ένα μέσο μεταφοράς για το κεφάλι τους, έτσι δεν είναι;
1161	Don't they?		
1162	It's a way of getting their head to meetings.	3323	Είναι ένας τρόπος να πηγαίνουν το κεφάλι τους σε συναντήσεις.
1163	If you want real evidence of out-of-body experiences, get yourself along to a residential conference of senior academics, and pop into the discotheque on the final night.	3324	Αν θέλετε πραγματική απόδειξη εξωσωματικής εμπειρίας, παρεμπιπτόντως, πηγαίνετε σε ένα συνέδριο υψηλόβαθμων ακαδημαϊκών, και εμφανιστείτε στη ντίσκο την τελευταία νύχτα.
1164	And there, you will see it.	3325	Και εκεί θα το δείτε, μεγάλοι άντρες και γυναίκες να λικνίζονται ανεξέλεγκτα, εκτός ρυθμού, περιμένοντας να τελειώσει, ώστε να γυρίσουν σπίτι και να γράψουν μια μελέτη πάνω σε αυτό.
1165	Grown men and women writhing uncontrollably, off the beat.		
1166	Waiting until it ends so they can go home and write a paper about it.		
1167	Our education system is predicated on the idea of academic ability.	3326	Το εκπαιδευτικό μας σύστημα είναι στοιχειοθετημένο στην ιδέα της ακαδημαϊκής ικανότητας.
1168	And there's a reason.	3327	Και υπάρχει λόγος γι' αυτό.
1169	Around the world, there were no public systems of education, really, before the 19th century.	3328	Το όλο σύστημα εφευρέθηκε - στον κόσμο δεν υπήρχαν στην πραγματικότητα δημόσια συστήματα εκπαίδευσης πριν το 19ο αιώνα.
1170	They all came into being to meet the needs of industrialism.	3329	Όλα σχεδιάστηκαν για να καλύψουν τις ανάγκες της βιομηχανοποίησης.
1171	So the hierarchy is rooted on two ideas.	3330	Έτσι η ιεραρχία έχει τις ρίζες της σε δύο ιδέες.
1172	Number one, that the most useful subjects for work are at the top.	3331	Η πρώτη είναι ότι τα πιο χρήσιμα μαθήματα για την εύρεση εργασίας είναι στην κορυφή.
1173	So you were probably steered benignly away from things at school when you were a kid, things you liked, on the grounds that you would never get a job doing that.	3332	Σας οδήγησαν, πιθανότατα, μακριά από κάποια πράγματα στο σχολείο, όταν ήσασταν παιδιά, πράγματα που σας άρεσαν, με τη δικαιολογία ότι δεν θα βρίσκατε ποτέ δουλειά κάνοντας αυτά, σωστά;
1174	Is that right?		
1175	Don't do music, you're not going to be a musician; don't do art, you won't be an artist.	3333	Μην κάνεις μουσική, δεν πρόκειται να γίνεις μουσικός.
		3334	Μην κάνεις την τέχνη, δεν θα γίνεις καλλιτέχνης.
1176	Benign advice -- now, profoundly mistaken.	3335	Καλοπροαίρετες συμβουλές - σήμερα προφανώς λανθασμένες.
1177	The whole world is engulfed in a revolution.	3336	Ολόκληρος ο κόσμος κατακλύζεται από μια επανάσταση.
1178	And the second is academic ability, which has really come to dominate our view of intelligence, because the universities designed the system in their image.	3337	Και η δεύτερη, είναι η ακαδημαϊκή ικανότητα, η οποία έχει πραγματικά καταλήξει να κυριαρχεί στην άποψη που έχουμε για την εξυπνάδα, διότι τα πανεπιστήμια σχεδίασαν το σύστημα καθ' ομοίωσή τους.
1179	If you think of it, the whole system of public education around the world is a protracted process of university entrance.	3338	Αν το σκεφτείτε, όλο το σύστημα της δημόσιας εκπαίδευσης σε όλο τον κόσμο είναι μια παρατεταμένη διαδικασία εισαγωγής στο πανεπιστήμιο.
1180	And the consequence is that many highly-talented, brilliant, creative people think they're not, because the thing they were good at at school wasn't valued, or was actually stigmatized.	3339	Με συνέπεια πολλοί, εξαιρετικά ταλαντούχοι, ευφυείς, δημιουργικοί άνθρωποι να νομίζουν πως δεν είναι, επειδή αυτό στο οποίο ήταν καλοί στο σχολείο δεν είχε αξία, ή στιγματιζόταν.
1181	And I think we can't afford to go on that way.	3340	Νομίζω πως δεν μας παίρνει να συνεχίσουμε κατά τον ίδιο τρόπο.
1182	In the next 30 years, according to UNESCO, more people worldwide will be graduating through education than since the beginning of history.	3341	Στα επόμενα 30 χρόνια κατά την UNESCO, περισσότεροι άνθρωποι θα αποφοιτούν από την εκπαίδευση σε όλο τον κόσμο, από την αρχή των ιστορικών χρόνων.
1183	More people, and it's the combination of all the things we've talked about -- technology and its transformation effect on work, and demography and the huge explosion in population.	3342	Περισσότεροι άνθρωποι, και αυτό σε συνδυασμό με όλα όσα συζητήσαμε - την τεχνολογία και το πώς αυτή επιδρά στην εργασία, τη δημογραφία και την τεράστια πληθυσμιακή έκρηξη.
1184	Suddenly, degrees aren't worth anything.	3343	Ξαφνικά τα πτυχία δεν θα αξίζουν τίποτα.
1185	Isn't that true?	3344	Δεν είναι αλήθεια;
1186	When I was a student, if you had a degree, you had a job.	3345	Όταν ήμουν μαθητής, αν είχες πτυχίο, είχες και δουλειά.
1187	If you didn't have a job, it's because you didn't want one.	3346	Εάν δεν είχες δουλειά ήταν επειδή δεν ήθελες να έχεις.
1188	And I didn't want one, frankly.	3347	Κι εγώ δεν ήθελα, για να είμαι ειλικρινής.
1189	But now kids with degrees are often heading home to carry on playing video games, because you need an MA where the previous job required a BA, and now you need a PhD for the other.	3348	Αλλά τώρα παιδιά με πτυχία, συχνά γυρίζουν σπίτι να παίξουν ηλεκτρονικά παιχνίδια, γιατί χρειάζεσαι μεταπτυχιακό, εκεί που πριν χρειαζόσουν πτυχίο και τώρα χρειάζεσαι διδακτορικό εκεί που πριν χρειαζόσουν το άλλο.
1190	It's a process of academic inflation.	3349	Είναι μια διαδικασία ακαδημαϊκού πληθωρισμού.
1191	And it indicates the whole structure of education is shifting beneath our feet.	3350	Φανερώνει ότι ολόκληρη η δομή της εκπαίδευσης σείεται κάτω από τα πόδια μας.
1192	We need to radically rethink our view of intelligence.	3351	Πρέπει να ξανασκεφτούμε ριζικά την άποψη που έχουμε για την ευφυΐα.
1193	We know three things about intelligence.	3352	Ξέρουμε τρία πράγματα γι' αυτή.
1194	One, it's diverse.	3353	Πρώτον ποικίλει.
1195	We think about the world in all the ways that we experience it.	3354	Σκεφτόμαστε τον κόσμο με όλους τους τρόπους που τον βιώνουμε.
1196	We think visually, we think in sound, we think kinesthetically.	3355	Σκεφτόμαστε οπτικά, ηχητικά, κιναισθητικά.
1197	We think in abstract terms, we think in movement.	3356	Σκεφτόμαστε με αφηρημένους όρους, με κίνηση.
1198	Secondly, intelligence is dynamic.	3357	Δεύτερον, η ευφυΐα είναι δυναμική.
1199	If you look at the interactions of a human brain, as we heard yesterday from a number of presentations, intelligence is wonderfully interactive.	3358	Αν κοιτάξετε τις αλληλεπιδράσεις του ανθρώπινου εγκεφάλου, όπως ακούσαμε χθες σε μια σειρά παρουσιάσεων, η ευφυΐα είναι υπέροχα διαδραστική.
1200	The brain isn't divided into compartments.	3359	Ο εγκέφαλος δεν χωρίζεται σε διαμερίσματα.
