En_Id	En_Sentence	Pt_Id	Pt_Sentence
1076	And he said, 'Yeah, why?Was that wrong?'	807	E ele disse: 'Claro!Por quê?Estava errado?'
1077	They just switched.	808	Eles trocaram a ordem, só isso.
1078	The three boys came in, four-year-olds with tea towels on their heads, and they put these boxes down, and the first boy said, 'I bring you gold.'	809	Enfim, os três garotos entraram, crianças de quatro anos com toalhas na cabeça, e colocaram as caixas no chão.
		810	O primeiro garoto disse: 'Eu trago ouro.'
1079	And the second boy said, 'I bring you myrrh.'	811	O segundo garoto disse: 'Eu trago mirra.'
1080	And the third boy said, 'Frank sent this.'	812	E o terceiro garoto disse: 'O Frank mandou isso.'
1081	What these things have in common is that kids will take a chance.	813	O que essas histórias tem em comum é que as crianças correm riscos.
1082	If they don't know, they'll have a go.	814	Se elas não sabem, elas chutam.
1083	Am I right?	815	Estou certo?
1084	They're not frightened of being wrong.	816	Elas não tem medo de errar.
1085	I don't mean to say that being wrong is the same thing as being creative.	817	Não estou dizendo que estar errado é o mesmo que ser criativo.
1086	What we do know is, if you're not prepared to be wrong, you'll never come up with anything original -- if you're not prepared to be wrong.	818	O que sabemos é que se você não estiver preparado para errar, você nunca terá uma idéia original.
		819	Se não estiver preparado para errar.
1087	And by the time they get to be adults, most kids have lost that capacity.	820	E quando chegam a fase adulta, a maioria das crianças perdeu essa capacidade.
1088	They have become frightened of being wrong.	821	Elas têm pavor de estarem erradas.
1089	And we run our companies like this.	822	E as empresas são administradas assim, por sinal.
1090	We stigmatize mistakes.	823	Nós estigmatizamos os erros.
1091	And we're now running national education systems where mistakes are the worst thing you can make.	824	E hoje administramos os sistemas educacionais de um jeito em que errar é a pior coisa que pode acontecer.
1092	And the result is that we are educating people out of their creative capacities.	825	O resultado disso é que estamos educando as pessoas para serem menos criativas.
1093	Picasso once said this, he said that all children are born artists.	826	Picasso disse uma vez que todas as crianças nascem artistas.
1094	The problem is to remain an artist as we grow up.	827	O problema é permanecer artista enquanto crescemos.
1095	I believe this passionately, that we don't grow into creativity, we grow out of it.	828	Eu acredito apaixonadamente que não aumentamos nossa criatividade, a diminuímos.
1096	Or rather, we get educated out of it.	829	Ou melhor, somos educados a abandoná-la.
1097	So why is this?	830	Mas por quê?
1098	I lived in Stratford-on-Avon until about five years ago.	831	Eu morei em Stratford-on-Avon até cinco anos atrás.
1099	In fact, we moved from Stratford to Los Angeles.	832	Na realidade, mudamos de Stratford para Los Angeles.
1100	So you can imagine what a seamless transition that was.	833	Vocês podem imaginar a mudança suave que foi.
1101	Actually, we lived in a place called Snitterfield, just outside Stratford, which is where Shakespeare's father was born.	834	Na verdade, nós moramos numa cidade chamada Snitterfield, na periferia de Stratford, que foi onde o pai do Shakespeare nasceu.
1102	Are you struck by a new thought?	835	Vocês tiveram um estalo?
1103	I was.	836	Eu tive.
1104	You don't think of Shakespeare having a father, do you?	837	Você nunca pensou que Shakespeare teve um pai, pensou?
1105	Do you?	838	Pensou?
1106	Because you don't think of Shakespeare being a child, do you?	839	Porque você nunca pensou no Shakespeare criança, pensou?
1107	Shakespeare being seven?	840	Shakespeare com sete anos?
1108	I never thought of it.	841	Eu nunca tinha pensado.
1109	I mean, he was seven at some point.	842	Quero dizer, ele algum dia teve sete anos.
1110	He was in somebody's English class, wasn't he?	843	E aprendeu inglês na aula de alguém, não aprendeu?
1111	How annoying would that be?	844	Como isso seria irritante?
1112	Must try harder.'	845	Se esforce mais.'
1113	Being sent to bed by his dad, you know, to Shakespeare, 'Go to bed, now!	846	Ser mandado para cama com o pai dizendo 'Para cama, agora!',para William Shakespeare.
1114	And put the pencil down.'	847	Larga esse lápis.E para de falar desse jeito.Ninguém entende nada.'
1115	And stop speaking like that.'		
1116	It's confusing everybody.'		
1117	Anyway, we moved from Stratford to Los Angeles, and I just want to say a word about the transition.	848	Enfim, nos mudamos de Stratford para Los Angeles, e eu só quero dizer uma coisa sobre essa transição.
1118	My son didn't want to come.	849	Meu filho não queria vir.
1119	I've got two kids; he's 21 now, my daughter's 16.	850	Eu tenho dois filhos.
		851	Ele agora tem 21 e minha filha 16.
1120	He didn't want to come to Los Angeles.	852	Ele não queria vir para Los Angeles.
1121	He loved it, but he had a girlfriend in England.	853	Ele adorava, mas tinha uma namorada na Inglaterra.
1122	This was the love of his life, Sarah.	854	Era o amor de sua vida, Sarah.
1123	He'd known her for a month.	855	Eles se conheciam por um mês.
1124	Mind you, they'd had their fourth anniversary, because it's a long time when you're 16.	856	Vejam bem, eles já tinham celebrado seu quarto aniversário, porque isso é muito tempo aos 16.
1125	He was really upset on the plane, he said, 'I'll never find another girl like Sarah.'	857	Em todo caso, ele estava chateado no avião e disse: 'Eu nunca mais vou encontrar uma garota como a Sarah.'
1126	And we were rather pleased about that, frankly --	858	E nós ficamos bastante contentes com isso, francamente.
1127	Because she was the main reason we were leaving the country.	859	Porque ela era a principal razão de estarmos deixando o país.
1128	But something strikes you when you move to America and travel around the world:	860	Uma coisa chama atenção quando se vem para os EUA e quando se viaja pelo mundo: todo sistema educacional do planeta tem a mesma hierarquia de disciplinas.
1129	Every education system on Earth has the same hierarchy of subjects.		
1130	Every one.	861	Todos eles.
1131	Doesn't matter where you go.	862	Não importa aonde vamos.
1132	You'd think it would be otherwise, but it isn't.	863	Você pensa que seria diferente, mas não é.
1133	At the top are mathematics and languages, then the humanities, and at the bottom are the arts.	864	No topo estão a matemática e as línguas, depois as humanas e por último as artes.
1134	Everywhere on Earth.	865	Qualquer lugar do planeta.
1135	And in pretty much every system too, there's a hierarchy within the arts.	866	E praticamente em qualquer sistema existe uma hierarquia dentre as artes.
1136	Art and music are normally given a higher status in schools than drama and dance.	867	Arte e música normalmente tem uma importância maior nas escolas do que drama e dança.
1137	There isn't an education system on the planet that teaches dance every day to children the way we teach them mathematics.	868	Não existe um sistema educacional no planeta que ensina dança diariamente às crianças da mesma forma que ensina matemática.
1138	Why?	869	Por quê?
1139	Why not?	870	Por que não?
1140	I think this is rather important.	871	Eu acho bastante importante.
1141	I think math is very important, but so is dance.	872	Eu acho que matemática é importante, mas dança também.
1142	Children dance all the time if they're allowed to, we all do.	873	As crianças dançam o tempo todo se deixarem.
		874	Nós todos dançamos.
1143	We all have bodies, don't we?	875	Nós todos temos corpos, não temos?
1144	Did I miss a meeting?	876	Eu faltei uma reunião?
1145	Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up.	877	Sério, o que acontece é que à medida que as crianças crescem, nós começamos a educá-las progressivamente da cintura para cima.
1146	And then we focus on their heads.	878	E depois nos focamos na cabeça.
1147	And slightly to one side.	879	E levemente para um lado.
1148	If you were to visit education, as an alien, and say 'What's it for, public education?'	880	Se você visitasse nossas escolas, como um ET, e se perguntasse: 'Para que serve a educação pública?'
1149	I think you'd have to conclude, if you look at the output, who really succeeds by this, who does everything that they should, who gets all the brownie points, who are the winners --	881	Eu acho que a conclusão obrigatória seria, olhando para o resultado, que quem é bem sucedido, quem faz tudo o que deve, quem ganha as estrelinhas, quem são os vencedores, eu acho que a conclusão seria de que o objetivo da educação pública ao redor do mundo é produzir professores universitários.
1150	I think you'd have to conclude the whole purpose of public education throughout the world is to produce university professors.		
1151	Isn't it?	882	Não é?
1152	They're the people who come out the come out the top.	883	Eles que saem por cima.
1153	And I used to be one, so there.	884	E eu costumava ser um, pra constar.
1154	And I like university professors, but you know, we shouldn't hold them up as the high-water mark of all human achievement.	885	Eu gosto de professores universitários, mas nós não devemos colocá-los no topo das realizações humanas.
1155	They're just a form of life, another form of life.	886	É só uma forma de vida, outra forma de vida.
1156	But they're rather curious, and I say this out of affection for them.	887	Mas eles são peculiares, e eu digo isso com todo carinho.
1157	There's something curious about professors in my experience -- not all of them, but typically, they live in their heads.	888	Existe uma coisa curiosa com os professores, na minha experiência.
		889	Não todos, mas tipicamente, eles vivem em suas cabeças.
1158	They live up there, and slightly to one side.	890	Eles vivem lá em cima e levemente para um lado.
1159	They're disembodied, you know, in a kind of literal way.	891	Eles saíram do corpo, quase literalmente.
1160	They look upon their body as a form of transport for their heads.	892	Eles vêem o próprio corpo como uma forma de transporte para a cabeça.
1161	Don't they?	893	Não é assim?
1162	It's a way of getting their head to meetings.	894	É um jeito de levarem suas cabeças às conferências.
1163	If you want real evidence of out-of-body experiences, get yourself along to a residential conference of senior academics, and pop into the discotheque on the final night.	895	Se você quiser evidências concretas de experiências extra-corpóreas, por sinal, é só participar de uma conferência de acadêmicos sênior, e aparecer na discoteca na noite final.
1164	And there, you will see it.	896	E lá você vai ver, homens e mulheres maduros, se contorcendo incontrolavelmente, fora do ritmo.
1165	Grown men and women writhing uncontrollably, off the beat.		
1166	Waiting until it ends so they can go home and write a paper about it.	897	Só esperando que o evento acabe e eles possam escrever um artigo a respeito.
1167	Our education system is predicated on the idea of academic ability.	898	Nosso sistema educacional atual se baseia na idéia da habilidade acadêmica.
1168	And there's a reason.	899	E existe uma razão para isso.
1169	Around the world, there were no public systems of education, really, before the 19th century.	900	O sistema foi concebido, e no mundo todo, não existiam sistemas públicos de educação antes do Séc.XIX.
1170	They all came into being to meet the needs of industrialism.	901	Todos eles foram criados para atender a demanda da industrialização.
1171	So the hierarchy is rooted on two ideas.	902	Então a hierarquia está apoiada em duas idéias.
1172	Number one, that the most useful subjects for work are at the top.	903	A primeira é que as disciplinas mais úteis para o trabalho estão no topo.
1173	So you were probably steered benignly away from things at school when you were a kid, things you liked, on the grounds that you would never get a job doing that.	904	Então você era bondosamente afastado na escola quando era criança de certas coisas, coisas que gostava, com a premissa que você nunca iria conseguir um emprego fazendo aquilo.
1174	Is that right?	905	Correto?
1175	Don't do music, you're not going to be a musician; don't do art, you won't be an artist.	906	Não faça música, você não vai ser músico.
		907	Não faça arte, você não vai ser artista.
1176	Benign advice -- now, profoundly mistaken.	908	Conselho benigno.
		909	Hoje, profundamente errado.
1177	The whole world is engulfed in a revolution.	910	O mundo inteiro está envolto numa revolução.
1178	And the second is academic ability, which has really come to dominate our view of intelligence, because the universities designed the system in their image.	911	A segunda é a aptidão acadêmica, que veio a dominar nossa visão de inteligência, porque as universidades planejaram o sistema à sua própria imagem.
1179	If you think of it, the whole system of public education around the world is a protracted process of university entrance.	912	Se você for pensar, todo o sistema de educação pública ao redor do mundo é um extensão do processo de ingresso à universidade.
1180	And the consequence is that many highly-talented, brilliant, creative people think they're not, because the thing they were good at at school wasn't valued, or was actually stigmatized.	913	A consequência disso é que muitas pessoas altamente talentosas brilhantes e criativas, pensam que não são, porque aquilo que elas eram boas na escola não era valorizado, ou era até estigmatizado.
1181	And I think we can't afford to go on that way.	914	Eu acho que não podemos nos dar ao luxo de ir por esse caminho.
1182	In the next 30 years, according to UNESCO, more people worldwide will be graduating through education than since the beginning of history.	915	Nos próximos 30 anos, de acordo com a UNESCO, mais gente ao redor do mundo irá se formar através da educação do que desde o princípio da história.
1183	More people, and it's the combination of all the things we've talked about -- technology and its transformation effect on work, and demography and the huge explosion in population.	916	Mais gente.
		917	E isso é a combinação de tudo que já falamos.
		918	A tecnologia e seu efeito modificador no trabalho, e a demografia e a enorme explosão populacional.
1184	Suddenly, degrees aren't worth anything.	919	De repente, diplomas não valem mais nada.
1185	Isn't that true?	920	Não é verdade?
1186	When I was a student, if you had a degree, you had a job.	921	Quando eu estudava, quem tinha um diploma, tinha um emprego.
1187	If you didn't have a job, it's because you didn't want one.	922	Quem não tinha um emprego, era porque não queria.
1188	And I didn't want one, frankly.	923	E eu não queria, francamente.
1189	But now kids with degrees are often heading home to carry on playing video games, because you need an MA where the previous job required a BA, and now you need a PhD for the other.	924	Mas agora garotos com diplomas estão voltando para casa para jogar video game porque pedem mestrado para o trabalho que necessitava bacharelado, e doutorado para o trabalho que necessitava mestrado.
1190	It's a process of academic inflation.	925	É um processo de inflação acadêmica.
1191	And it indicates the whole structure of education is shifting beneath our feet.	926	E é um indicativo de que toda a estrutura educacional está mudando na frente do nosso nariz.
1192	We need to radically rethink our view of intelligence.	927	Precisamos repensar radicalmente nossa visão de inteligência.
1193	We know three things about intelligence.	928	Sabemos três coisas sobre inteligência.
1194	One, it's diverse.	929	Um, é variada.
1195	We think about the world in all the ways that we experience it.	930	Pensamos a respeito do mundo de todas as formas que o vivenciamos.
1196	We think visually, we think in sound, we think kinesthetically.	931	Pensamos visualmente, pensamos auditivamente, pensamos cinestesicamente.
1197	We think in abstract terms, we think in movement.	932	Pensamos em termo abstratos, pensamos em movimento.
1198	Secondly, intelligence is dynamic.	933	Dois, inteligência é dinâmica.
1199	If you look at the interactions of a human brain, as we heard yesterday from a number of presentations, intelligence is wonderfully interactive.	934	Se formos olhar as interações do cérebro humano, conforme ouvimos ontem em várias apresentações, a inteligência é maravilhosamente interativa.
1200	The brain isn't divided into compartments.	935	O cérebro não se divide em compartimentos.
1201	In fact, creativity -- which I define as the process of having original ideas that have value -- more often than not comes about through the interaction of different disciplinary ways of seeing things.	936	De fato, criatividade, que eu defino como o processo de ter idéias originais que possuem valor, com bastante frequência se manifesta através da interação de como as diferentes disciplinas vêem as coisas.
1202	By the way, there's a shaft of nerves that joins the two halves of the brain called the corpus callosum.	937	O cérebro é intencionalmente...Por sinal, existe um feixe de filamentos nervosos que conecta os dois lados do cérebro chamado corpo caloso.É mais espesso nas mulheres.
1203	It's thicker in women.		
1204	Following off from Helen yesterday, this is probably why women are better at multi-tasking.	938	Completando o que a Helen falou ontem, eu acho que esta é a razão pela qual as mulheres são melhores em multitarefa.
1205	Because you are, aren't you?	939	Porque vocês são, não são?
1206	There's a raft of research, but I know it from my personal life.	940	As pesquisas são abundantes, mas eu sei por experiência própria.
1207	If my wife is cooking a meal at home -- which is not often, thankfully.	941	Quando minha esposa está cozinhando, o que acontece pouco, ainda bem.
1208	No, she's good at some things, but if she's cooking, she's dealing with people on the phone, she's talking to the kids, she's painting the ceiling, she's doing open-heart surgery over here.	942	Mas enfim, ela está lá...
		943	Sério, ela é boa em algumas coisas.
		944	Mas quando ela está cozinhando, ela está falando no telefone, está falando com as crianças, está pintando o teto, está fazendo cirurgia cardíaca.
1209	If I'm cooking, the door is shut, the kids are out, the phone's on the hook,	945	Quando eu cozinho, a porta está fechada, as crianças saíram, o telefone está fora do gancho, se ela aparece eu me irrito.
1210	if she comes in I get annoyed.		
1211	I say, 'Terry, please, I'm trying to fry an egg in here.'	946	Eu digo: 'Terry, por favor, estou tentando fritar um ovo aqui.Me deixa em paz.'
1212	Give me a break.'		
1213	Actually, do you know that old philosophical thing, if a tree falls in a forest and nobody hears it, did it happen?	947	Conhecem aquele velho postulado filosófico?
		948	Se uma árvore cai na floresta e ninguém ouve, será que aconteceu?
1214	Remember that old chestnut?	949	Lembram dessa piada velha?
1215	I saw a great t-shirt recently, which said, 'If a man speaks his mind in a forest, and no woman hears him, is he still wrong?'	950	Vi uma camiseta excelente esses dias que dizia: 'Se um homem fala o que pensa numa floresta, e nenhuma mulher escuta, ele continua errado?'
1216	And the third thing about intelligence is, it's distinct.	951	O terceiro ponto sobre a inteligência é que é distinta.
1217	I'm doing a new book at the moment called 'Epiphany,' which is based on a series of interviews with people about how they discovered their talent.	952	Estou escrevendo um livro atualmente chamado 'Epifania', que é baseado numa série de entrevistas que eu fiz sobre como as pessoas descobriram seus talentos.
1218	I'm fascinated by how people got to be there.	953	Sou fascinado por como elas chegaram onde estão.
1219 1220	It's really prompted by a conversation I had with a wonderful woman who maybe most people have never heard of, Gillian Lynne. Have you heard of her?	954 955	Fui motivado por uma conversa que tive com uma mulher maravilhosa que talvez muitas pessoas nunca tenham ouvido falar. Ela se chama Gillian Lynne, já ouviram falar dela?
			
1221	Some have.	956	Alguns já.
1222	She's a choreographer, and everybody knows her work.	957	Ela é uma coreógrafa e todo mundo conhece seu trabalho.
1223	She did 'Cats' and 'Phantom of the Opera.'	958	Ela trabalhou em 'Cats', e 'O Fantasma da Ópera'.
1224	She's wonderful.	959	Ela é maravilhosa.
1225	I used to be on the board of The Royal Ballet, as you can see.	960	Eu estava no conselho do Royal Ballet, na Inglaterra, como podem ver.
1226	Anyway, Gillian and I had lunch one day and I said, 'How did you get to be a dancer?'	961	Gillian e eu almoçamos um dia e eu perguntei: 'Gillian, como você se tornou dançarina?'
1227	It was interesting.	962	E ela respondeu que foi interessante, quando ela estava na escola, ela estava desanimada.
1228	When she was at school, she was really hopeless.		
1229	And the school, in the '30s, wrote to her parents and said, 'We think Gillian has a learning disorder.'	963	E a escola, nos anos 30, escreveu para os pais dizendo: 'Achamos que a Gillian tem dificuldade de aprendizado.'
1230	She couldn't concentrate; she was fidgeting.	964	Ela não conseguia se concentrar, era inquieta.
1231	I think now they'd say she had ADHD.	965	Eu acho que hoje diriam que ela tinha TDAH.
1232	Wouldn't you?	966	Não acham?
1233	But this was the 1930s, and ADHD hadn't been invented at this point.	967	Mas eram os anos 30, e TDAH não tinha sido inventado ainda.
1234	It wasn't an available condition.	968	Não era uma doença disponível.
1235	People weren't aware they could have that.	969	As pessoas não sabiam que podiam ter aquilo.
1236	Anyway, she went to see this specialist.	970	Então a mandaram para um especialista.
1237	So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes while this man talked to her mother about the problems Gillian was having at school.	971	A sala era toda em madeira.
		972	Ela estava com sua mãe, e a puseram numa cadeira no canto, e ela sentou sobre as mãos por 20 min enquanto um homem conversava com sua mãe sobre os problemas que a Gillian vinha tendo na escola.
1238	Because she was disturbing people; her homework was always late; and so on, little kid of eight.	973	E no final..
		974	Porque ela estava perturbando as pessoas, as tarefas estavam sempre atrasadas, e assim por diante, um criança de oito anos.
1239	In the end, the doctor went and sat next to Gillian, and said, 'I've listened to all these things your mother's told me, I need to speak to her privately.	975	No final o médico sentou ao lado da Gillian e disse: 'Gillian, eu ouvi todas as coisas que sua mãe me disse, e eu preciso conversar a sós com ela.'
1240	Wait here.	976	Ele disse: 'Espere aqui, já voltamos.Não vai demorar.',e eles deixaram ela sozinha.
1241	We'll be back; we won't be very long,' and they went and left her.		
1242	But as they went out of the room, he turned on the radio that was sitting on his desk.	977	Mas enquanto eles saiam da sala, ele ligou o rádio que estava sobre a mesa.
1243	And when they got out, he said to her mother, 'Just stand and watch her.'	978	E quando eles saíram da sala, ele disse para a mãe: 'Só a escute e a observe.'
1244	And the minute they left the room, she was on her feet, moving to the music.	979	E assim que eles deixaram a sala, ela disse, ela estava de pé, se movendo com a música.
1245	And they watched for a few minutes and he turned to her mother and said, 'Mrs.Lynne, Gillian isn't sick; she's a dancer.	980	Eles observaram por alguns minutos e ele se virou para a mãe e disse: 'Sra.Lynne, a Gillian não está doente, ela é uma dançarina.Leve-a para uma escola de dança.'
1246	Take her to a dance school.'		
1247	I said, 'What happened?'	981	Eu perguntei: 'O que aconteceu?'
1248	She said, 'She did.	982	Ela respondeu: Ela levou.
1249	I can't tell you how wonderful it was.	983	Não consigo descrever como foi maravilhoso.
1250	We walked in this room and it was full of people like me.	984	Entramos numa sala cheia de pessoas como eu.
1251	People who couldn't sit still.	985	Pessoas que não conseguiam ficar paradas.
1252	People who had to move to think.'	986	Pessoas que precisavam se mexer para pensar.
1253	Who had to move to think.	987	Precisavam se mexer para pensar.
1254	They did ballet, they did tap, jazz; they did modern; they did contemporary.	988	Eles ensinavam ballet, sapateado, jazz, dança moderna, contemporânea.
1255	She was eventually auditioned for the Royal Ballet School; she became a soloist; she had a wonderful career at the Royal Ballet.	989	Ela eventualmente fez um teste para a Royal Ballet School, se tornou uma solista e teve uma carreira fantástica na Royal Ballet.
1256	She eventually graduated from the Royal Ballet School, founded the Gillian Lynne Dance Company, met Andrew Lloyd Webber.	990	Ela eventualmente se formou na Royal Ballet School, fundou sua própria empresa, a Companhia de Dança Gillian Lynne, e conheceu Andrew Lloyd Weber.
1257	She's been responsible for some of the most successful musical theater productions in history, she's given pleasure to millions, and she's a multi-millionaire.	991	Ela foi responsável por alguns dos musicais mais bem sucedidos na história, deu alegria para milhões, e é multimilionária.
1258	Somebody else might have put her on medication and told her to calm down.	992	Outra pessoa poderia ter receitado um remédio e dito para ela se acalmar.
1259 1260	What I think it comes to is this: Al Gore spoke the other night about ecology and the revolution that was triggered by Rachel Carson.	993 994	Hoje, eu acho... Eu acho que se resume a isso: Al Gore falou outra noite sobre ecologia, e a revolução desencadeada por Rachel Carson.
			
1261	I believe our only hope for the future is to adopt a new conception of human ecology, one in which we start to reconstitute our conception of the richness of human capacity.	995	Eu acredito que nossa única esperança para o futuro é a adoção de uma nova concepção de ecologia humana, uma em que começamos a reconstituir nossa concepção da riqueza da capacidade humana.
1262	Our education system has mined our minds in the way that we strip-mine the earth: for a particular commodity.	996	Nosso sistema educacional explorou nossas mentes como exploramos a terra: em busca de um recurso específico.
1263	And for the future, it won't serve us.	997	E para o futuro, isso não serve.
1264	We have to rethink the fundamental principles on which we're educating our children.	998	Temos que repensar os princípios fundamentais que baseamos a educação de nossas crianças.
