En_Id	En_Sentence	Se_Id	Se_Sentence
1041	Just seeing what she could do.	1853	bara att se vad hon kunde göra .
1042	And she's exceptional, but I think she's not, so to speak, exceptional in the whole of childhood.	1854	och hon är exceptionell , men jag tror inte hon är det , så att säga , exceptionell i hela barndomen .
1043	What you have there is a person of extraordinary dedication who found a talent.	1855	vad man har här är en person med extraordinär hängivenhet som fann en talang .
1044	And my contention is, all kids have tremendous talents.	1856	och mitt påstående är , alla barn har kolosala talanger .
1045	And we squander them, pretty ruthlessly.	1857	och vi slösar bort dem , ganska hänsynslöst .
1046	So I want to talk about education and I want to talk about creativity.	1858	så jag vill prata om utbildning och jag vill prata om kreativitet .
1047	My contention is that creativity now is as important in education as literacy, and we should treat it with the same status.	1859	mitt påstående är att kreativitet nu är lika viktigt i utbildning som läs-och skrivkunnighet , och vi borde behandla det med samma status .
1048	Thank you.	1860	( applåder ) tack så mycket .
1049	That was it, by the way.	1861	det var det föresten .
1050	Thank you very much.	1862	tack så väldigt mycket .
1051	So, 15 minutes left.	1863	( skratt ) så , 15 minuter kvar .
1052	Well, I was born...no.	1864	nå , jag föddes -- nej ( skratt )
1053	I heard a great story recently -- I love telling it -- of a little girl who was in a drawing lesson.	1865	jag hörde en bra historia nyligen -- jag älskar att berätta den -- om en liten flicka som hade bild lektion .
1054	She was six, and she was at the back, drawing, and the teacher said this girl hardly ever paid attention, and in this drawing lesson, she did.	1866	hon var sex och hon satt långt bak , ritade , och läraren sa att denna lilla flicka nästan aldrig lyssnade , och på bildlektionen så gjorde hon det .
1055	The teacher was fascinated.	1867	läraren var fascinerad och hon gick till henne och hon sa , ' vad ritar du ?'
1056	She went over to her, and she said, 'What are you drawing?'		
1057	And the girl said, 'I'm drawing a picture of God.'	1868	och den lilla flickan sa , ' jag ritar en bild av gud ' .
1058	And the teacher said, 'But nobody knows what God looks like.'	1869	och läraren sa , ' men ingen vet hur gud ser ut .'
1059	And the girl said, 'They will, in a minute.'	1870	och flickan sa , ' det kommer dom om en minut .'
	[Does not correspond to anything in the English corpus; means 'laughter'.]	1871	( skratt )
1060	When my son was four in England --	1872	när min son var fyra år i england -- han var faktiskt fyra år överallt , för att vara ärlig .
1061	Actually, he was four everywhere, to be honest.		
1062	If we're being strict about it, wherever he went, he was four that year.	1873	( skratt ) om vi skall vara stränga , vart än han gick var han fyra det året .
1063	He was in the Nativity play.	1874	har var med i julspelet .
1064	Do you remember the story?	1875	kommer ni ihåg historien ?
1065	No, it was big, it was a big story.	1876	nej , den var stor .
		1877	det var en stor historia .
1066 1067	Mel Gibson did the sequel, you may have seen it. 'Nativity II.'	1878 1879	mel gibson gjorde uppföljaren . du kan ha sett den : ' julspelet ll .'
1068	But James got the part of Joseph, which we were thrilled about.	1880	men james fick rollen som josef , vilket vi var överlyckliga för .
1069	We considered this to be one of the lead parts.	1881	vi ansåg att detta var en av huvudrollerna .
1070	We had the place crammed full of agents in T-shirts:	1882	vi hade stället packa med agenter i t-shirt : ' james robinson är joseph ' ( skratt ) han behövde inte prata , men ni kan den delen där de tre kungarna kommer in .
1071	James Robinson IS Joseph!'		
1072	He didn't have to speak, but you know the bit where the three kings come in?		
1073	They come in bearing gifts, gold, frankincense and myrrh.	1883	de kommer med gåvor , och har med sig guld , rökelse och myrra .
1074	This really happened.	1884	detta hände verkligen .
1075	We were sitting there and I think they just went out of sequence, because we talked to the little boy afterward and we said, 'You OK with that?'	1885	vi satt där .
		1886	och jag tror att de bara kom av sig , för att det talade till den lille pojken efteråt och vi sa , ' är du ok med det ?'
1076	And he said, 'Yeah, why?Was that wrong?'	1887	och han sa , ' ja , varför , va det fel ?'
1077	They just switched.	1888	dom bara bytte och så var det klart .
1078	The three boys came in, four-year-olds with tea towels on their heads, and they put these boxes down, and the first boy said, 'I bring you gold.'	1889	i vilket fall , så kom dom tre pojkarna in , fyraåringar med handdukar kring huvudet , och de ställde ner dessa lådor , och första pojken sa , ' jag giver dig guld .'
1079	And the second boy said, 'I bring you myrrh.'	1890	och den andra pojken sa , ' jag giver dig myrra .'
1080	And the third boy said, 'Frank sent this.'	1891	och den tredje pojken sa , ' frank skickade detta .'
	[Does not correspond to anything in the English corpus; means 'laughter'.]	1892	( skratt )
1081	What these things have in common is that kids will take a chance.	1893	vad dessa saker har gemensamt är att barn tar chanser .
1082	If they don't know, they'll have a go.	1894	om de inte vet , så försöker dom .
1083	Am I right?	1895	har jag rätt ?
1084	They're not frightened of being wrong.	1896	de är inte rädda för att ha fel .
1085	I don't mean to say that being wrong is the same thing as being creative.	1897	jag menar inte att ha fel är samma sak som att vara kreativ .
1086	What we do know is, if you're not prepared to be wrong, you'll never come up with anything original -- if you're not prepared to be wrong.	1898	vad vi vet är , om du inte är beredd att ha fel , så kommer du aldrig komma på något orginellt .
		1899	om du inte är beredd att ha fel .
1087	And by the time they get to be adults, most kids have lost that capacity.	1900	och när dom blir vuxna , förlorar de flesta barn den förmågan .
1088	They have become frightened of being wrong.	1901	dom har blivit rädda för att ha fel .
1089	And we run our companies like this.	1902	och vi driver våra företag såhär , föresten .
1090	We stigmatize mistakes.	1903	vi stigmatiserar misstag .
1091	And we're now running national education systems where mistakes are the worst thing you can make.	1904	och vi driver nu nationella utbildnings system där misstag är det värsta du kan göra .
1092	And the result is that we are educating people out of their creative capacities.	1905	och resultatet av det är att vi utbildar folk ut ur deras kreativa förmåga .
1093	Picasso once said this, he said that all children are born artists.	1906	picasso sa en gång : han sa att alla barn är födda konstnärer .
1094	The problem is to remain an artist as we grow up.	1907	problemet är att förbli en konstnär när vi växer upp .
1095	I believe this passionately, that we don't grow into creativity, we grow out of it.	1908	jag tror passionerat detta att vi inte växer in i kreativitet , vi växer ur den .
1096	Or rather, we get educated out of it.	1909	eller hellre , vi utbildas ur det .
1097	So why is this?	1910	så varför sker det ?
1098	I lived in Stratford-on-Avon until about five years ago.	1911	jag bodde i stratford-on-avon tills ungefär för fem år sen .
1099	In fact, we moved from Stratford to Los Angeles.	1912	vi flyttade faktiskt från stratford till los angeles .
1100	So you can imagine what a seamless transition that was.	1913	så ni kan tänka er vilken sömlös övergång det var .
1101	Actually, we lived in a place called Snitterfield, just outside Stratford, which is where Shakespeare's father was born.	1914	( skratt ) faktiskt , så bodde vi på ett ställe som hette snitterfield , precis utanför stratford , vilket är där shakespeare ' s far var född .
1102	Are you struck by a new thought?	1915	slog det er något nu ?
1103	I was.	1916	något slog mig .
1104	You don't think of Shakespeare having a father, do you?	1917	man tänker inte på att shakepeare hade en far , eller hur ?
1105	Do you?	1918	gör ni ?
1106	Because you don't think of Shakespeare being a child, do you?	1919	för att man tänker inte på shakespeare som ett barn , eller ?
1107	Shakespeare being seven?	1920	shakepeare sju år ?
1108	I never thought of it.	1921	jag har aldrig tänkt på det .
1109	I mean, he was seven at some point.	1922	jag menar , han var varit sju vid någon tidpunkt .
1110	He was in somebody's English class, wasn't he?	1923	han har varit på någons engelska lektion , har han inte ?
1111	How annoying would that be?	1924	hur irriterande skulle det vara ?
1112	Must try harder.'	1925	( skratt ) ' måste försöka mer .'
1113	Being sent to bed by his dad, you know, to Shakespeare, 'Go to bed, now!	1926	blivit körd i säng av sin far , ni vet , till shakespeare , ' bums i säng , nu , ' till william shakespeare , ' och lägg ner pennan .
1114	And put the pencil down.'		
1115	And stop speaking like that.'	1927	och sluta prata sådär .
1116	It's confusing everybody.'	1928	det förvirrar alla .'
	[Does not correspond to anything in the English corpus; means 'laughter'.]	1929	( skratt )
1117	Anyway, we moved from Stratford to Los Angeles, and I just want to say a word about the transition.	1930	i vilket fall , vi flyttade from stratford till los angeles , och jag vill bara nämna några ord om övergången .
1118	My son didn't want to come.	1931	min son ville inte med .
1119	I've got two kids; he's 21 now, my daughter's 16.	1932	jag har två barn .
		1933	han är 21 nu och min dotter är 16 .
1120	He didn't want to come to Los Angeles.	1934	han ville inte följa med till los angeles .
1121	He loved it, but he had a girlfriend in England.	1935	han älskade det , men han hade en flickvän i england .
1122	This was the love of his life, Sarah.	1936	detta var hans livs kärlek , sarah .
1123	He'd known her for a month.	1937	han hade känt henne i en månad .
1124	Mind you, they'd had their fourth anniversary, because it's a long time when you're 16.	1938	kom ihåg , de hade haft sin fjärde åminnesdag , eftersom det är en lång tid när man är 16 .
1125	He was really upset on the plane, he said, 'I'll never find another girl like Sarah.'	1939	i vilket fall , han var väldigt upprörd på planet , och han sa , ' jag kommer aldrig hitta en annan tjej som sarah .'
1126	And we were rather pleased about that, frankly --	1940	och vi var ganska nöjda över detta , ärligt talat , eftersom hon var den främsta anledning till att vi lämnade landet .
1127	Because she was the main reason we were leaving the country.		
	[Does not correspond to anything in the English corpus; means 'laughter'.]	1941	( skratt )
1128	But something strikes you when you move to America and travel around the world:	1942	men något slår en när man flyttar till amerika och när du reser runt om i världen : varje utbildnings system på jorden har samma hierarki av ämnen .
1129	Every education system on Earth has the same hierarchy of subjects.		
1130	Every one.	1943	alla .
1131	Doesn't matter where you go.	1944	det spelar ingen roll vart man åker .
1132	You'd think it would be otherwise, but it isn't.	1945	man skulle kunna tro att det skulle vara annorlunda , med inte .
1133	At the top are mathematics and languages, then the humanities, and at the bottom are the arts.	1946	i topp ligger matte och språk , sen kommer humaniora , och i botten ligger estetiska ämnen .
1134	Everywhere on Earth.	1947	överallt på jorden .
1135	And in pretty much every system too, there's a hierarchy within the arts.	1948	och i så gott som varje system också , finns det hierarki inom de estetiska ämnena .
1136	Art and music are normally given a higher status in schools than drama and dance.	1949	bild och musik har normalt högre status i skolorna sen drama och dans .
1137	There isn't an education system on the planet that teaches dance every day to children the way we teach them mathematics.	1950	det finns inte ett utbildningssystem på vår planet som lär ut dans varje dag till barn på samma sätt vi lär ut matte .
1138	Why?	1951	varför ?
1139	Why not?	1952	varför inte ?
1140	I think this is rather important.	1953	jag tror att detta är ganska viktigt .
1141	I think math is very important, but so is dance.	1954	jag tycker matte är väldigt viktigt , men det är dans också .
1142	Children dance all the time if they're allowed to, we all do.	1955	barn dansar hela tiden om de får det , det gör vi alla .
1143	We all have bodies, don't we?	1956	vi har alla kroppar , eller hur ?
1144	Did I miss a meeting?	1957	missade jag ett möte ?
1145	Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up.	1958	( skratt ) sanningenligt , vad som händer är , när barn växer upp , vi börjar utbilda dem fortlöpande från midjan och uppåt .
1146	And then we focus on their heads.	1959	och då fokuserar vi på deras huvuden .
1147	And slightly to one side.	1960	och något ensidigt .
1148	If you were to visit education, as an alien, and say 'What's it for, public education?'	1961	om man skulle besöka utbildning , som en utomjording , och säga ' vad är det till för , allmän utbildning ?'
1149	I think you'd have to conclude, if you look at the output, who really succeeds by this, who does everything that they should, who gets all the brownie points, who are the winners --	1962	jag tror att du skulle behöva till slut -- om du tittar på output , den som verkligen lyckas på detta sätt , den som gör allt på det sätt den borde , den som får alla fjäsk poäng , som är vinnare -- jag tror att man skulle komma fram till att meningen med allmän utbildning över hela världen är att producera universitets professorer .
1150	I think you'd have to conclude the whole purpose of public education throughout the world is to produce university professors.		
1151	Isn't it?	1963	eller ?
1152	They're the people who come out the come out the top.	1964	de är dom människorna som hamnar på toppen .
1153	And I used to be one, so there.	1965	och jag har varit en av dom .
1154	And I like university professors, but you know, we shouldn't hold them up as the high-water mark of all human achievement.	1966	( skratt ) och jag gillar universitets professorer , men ni vet , vi borde inte hålla upp dem som högvattensmärken på all mänsklig bedrift .
1155	They're just a form of life, another form of life.	1967	dom är bara en form av liv , en annan form av liv .
1156	But they're rather curious, and I say this out of affection for them.	1968	men de är ganska nyfikna , och jag säger detta i ren tillgivenhet till dem .
1157	There's something curious about professors in my experience -- not all of them, but typically, they live in their heads.	1969	det finns något nyfiket med professorer enligt mina erfarenheter -- inte alla , men typiskt -- de lever sina liv i sitt huvud .
1158	They live up there, and slightly to one side.	1970	dom lever up där , och lite mer ensidigt .
1159	They're disembodied, you know, in a kind of literal way.	1971	de är befriade från kroppen , ni vet , på ett ganska bokstavligt sätt .
1160	They look upon their body as a form of transport for their heads.	1972	de ser på sin kropp som en form av transportmedel för deras huvuden , visst gör dom ?
1161	Don't they?		
1162	It's a way of getting their head to meetings.	1973	( skratt ) det är ett sätt att få deras huvuden till möten .
1163	If you want real evidence of out-of-body experiences, get yourself along to a residential conference of senior academics, and pop into the discotheque on the final night.	1974	om du vill ha verkliga bevis för utanförkroppsliga upplevelser , föresten , se till att gå på konferens med äldre akademiker , och titta in på diskotek sista kvällen .
1164	And there, you will see it.	1975	( skratt ) och du kommer se det , vuxna män och kvinnor åla sig obekvämt , i otakt , väntande på att det skall sluta så de kan åka hem och skriva en artikel om det .
1165	Grown men and women writhing uncontrollably, off the beat.		
1166	Waiting until it ends so they can go home and write a paper about it.		
1167	Our education system is predicated on the idea of academic ability.	1976	nu proklamerar vårt utbildningssystem idéen om akademisk förmåga .
1168	And there's a reason.	1977	och det finns en anledning .
1169	Around the world, there were no public systems of education, really, before the 19th century.	1978	hela systemet uppfanns -- runt om i världen , det fanns faktiskt ingen allmän utbildning innan 1800-talet , de blev alla till för att möta industrialismens behov .
1170	They all came into being to meet the needs of industrialism.		
1171	So the hierarchy is rooted on two ideas.	1979	så hierarkin ligger rotad i dessa två idéer .
1172	Number one, that the most useful subjects for work are at the top.	1980	nummer ett , att de mest användbara ämnena för arbete finns på toppen .
1173	So you were probably steered benignly away from things at school when you were a kid, things you liked, on the grounds that you would never get a job doing that.	1981	så ni blev förmodligen välvilligt styrda från de saker i skolan när ni var barn , saker ni gillade , grundat på att du skulle aldrig få ett jobb genom att göra det .
1174	Is that right?	1982	stämmer det ?
1175	Don't do music, you're not going to be a musician; don't do art, you won't be an artist.	1983	håll inte på med musik , du kommer inte bli musiker ; håll inte på med konst , kommer inte bli konstnär .
1176	Benign advice -- now, profoundly mistaken.	1984	godhjärtade råd -- djupa misstag .
1177	The whole world is engulfed in a revolution.	1985	hela världen är uppslukade i en revolution .
1178	And the second is academic ability, which has really come to dominate our view of intelligence, because the universities designed the system in their image.	1986	och den andra är akademisk förmåga , som har blivit den dominanta vår syn på intelligens , för att universitet designade systemet i deras avbild .
1179	If you think of it, the whole system of public education around the world is a protracted process of university entrance.	1987	om ni tänker på det , hela systemet av allmän utbildning runt om i världen är en utdraget process av universitets antagning .
1180	And the consequence is that many highly-talented, brilliant, creative people think they're not, because the thing they were good at at school wasn't valued, or was actually stigmatized.	1988	och konsekvensen är att många mycket talangfulla , brillianta , kreativa människor tror att det inte är det .
		1989	för att de saker de var duktiga på i skolan var inte högt värderat , eller var stigmatiserad .
1181	And I think we can't afford to go on that way.	1990	och jag tror att vi inte har råd med att förtsätta på den vägen .
1182	In the next 30 years, according to UNESCO, more people worldwide will be graduating through education than since the beginning of history.	1991	under de nästa 30 åren , enligt unesco , kommer mer människor världen över ta examen genom utbildning som sedan historiens början .
1183	More people, and it's the combination of all the things we've talked about -- technology and its transformation effect on work, and demography and the huge explosion in population.	1992	mer människor , och det är kombinationen av alla de saker vi har pratat om -- teknologi och dess transformations effekt på arbete , och demografi och den enorma explosion i populationen .
1184	Suddenly, degrees aren't worth anything.	1993	plötsligt , är examina värt någonting .
1185	Isn't that true?	1994	stämmer det inte ?
1186	When I was a student, if you had a degree, you had a job.	1995	när jag var student , hade du en examen så hade du ett jobb .
1187	If you didn't have a job, it's because you didn't want one.	1996	om du inte hade ett jobb var det för att du inte ville ha ett .
1188	And I didn't want one, frankly.	1997	och jag ville inte ha ett , om vi skall vara ärliga .
1189	But now kids with degrees are often heading home to carry on playing video games, because you need an MA where the previous job required a BA, and now you need a PhD for the other.	1998	( skratt ) men nu är ungdomar med examen ofta på väg hem för att fortsätta att spela tv-spel , för att du behöver en master där det forut behövdes en kandidat , och nu behöver man en doktorsexamen för de andra .
1190	It's a process of academic inflation.	1999	det är en process av akademiskinflation .
1191	And it indicates the whole structure of education is shifting beneath our feet.	2000	och detta indikerar att utbildnings hela struktur förändras under våra fötter .
1192	We need to radically rethink our view of intelligence.	2001	vi behöver radikalt tänka om vår syn på intelligens .
1193	We know three things about intelligence.	2002	vi vet tre saker om intelligens .
1194	One, it's diverse.	2003	ett , det är skiftande .
1195	We think about the world in all the ways that we experience it.	2004	vi tänker på världen på alla sätt som vi upplever den .
1196	We think visually, we think in sound, we think kinesthetically.	2005	vi tänker visuellt , vi tänker i ljud , vi tänker kinestetiskt .
1197	We think in abstract terms, we think in movement.	2006	vi tänker i abstrakta termer , vi tänker i rörelser .
1198	Secondly, intelligence is dynamic.	2007	två , intelligens är dynamiskt .
1199	If you look at the interactions of a human brain, as we heard yesterday from a number of presentations, intelligence is wonderfully interactive.	2008	om man ser på interaktioner i människans hjärna , som vi har hört igår från flera presentationer , intelligens är underbart interaktivt .
1200	The brain isn't divided into compartments.	2009	hjärnan är inte uppdelad i olika fack .
1201	In fact, creativity -- which I define as the process of having original ideas that have value -- more often than not comes about through the interaction of different disciplinary ways of seeing things.	2010	faktiskt , kreativitet -- som jag definerar som processen av att ha en orginell idé av värde -- oftare än inte kommer fram genom interaktionen av olika disciplinäriska vägar att se saker .
1202	By the way, there's a shaft of nerves that joins the two halves of the brain called the corpus callosum.	2011	hjärnan är avsiktlig -- föresten , det finns en samling nerver som förenar de två hjärnhalvorna kallad hjärnbalken .
1203	It's thicker in women.	2012	den är tjockare hos kvinnor .
1204	Following off from Helen yesterday, this is probably why women are better at multi-tasking.	2013	en uppföljning av helen från igår , tror jag detta är förmodligen varför kvinnor är bättre på multi-tasking .
1205	Because you are, aren't you?	2014	för att det är ni , eller hur ?
1206	There's a raft of research, but I know it from my personal life.	2015	det finns en massa forskning , men jag vet detta från mitt privatliv .
1207	If my wife is cooking a meal at home -- which is not often, thankfully.	2016	om min fru lagar mat hemma -- vilket inte är så ofta , tack och lov .
1208	No, she's good at some things, but if she's cooking, she's dealing with people on the phone, she's talking to the kids, she's painting the ceiling, she's doing open-heart surgery over here.	2017	( skratt ) men ni vet , hon gör -- nej , hon är bra på vissa saker -- men om hon lagar mat , ni vet , pratar hon i telefon med folk , hon pratar hon med barnen , hon målar taket , hon utför hjärtoperationer .
1209	If I'm cooking, the door is shut, the kids are out, the phone's on the hook,	2018	om jag lagar mat , dörren är stängd , barnen är ute , telefonluren är på , om hon kommer in blir jag irriterad .
1210	if she comes in I get annoyed.		
1211	I say, 'Terry, please, I'm trying to fry an egg in here.'	2019	jag säger , ' terry , snälla , för försöker steka ett ägg här .
1212	Give me a break.'	2020	lämna mig i fred .'
1213	Actually, do you know that old philosophical thing, if a tree falls in a forest and nobody hears it, did it happen?	2021	( skratt ) faktiskt , ni vet den gamla filosofiska tanken , om ett träd faller i skogen och ingen hör det , hände det ?
1214	Remember that old chestnut?	2022	kommer ni ihåg den gamla nöten ?
1215	I saw a great t-shirt recently, which said, 'If a man speaks his mind in a forest, and no woman hears him, is he still wrong?'	2023	jag såg en underbar t-shirt för ett tag sen där det stod , ' om en man säger vad han tycker i en skog , och ingen kvinna hör honom , har han fortfarande fel ?'
	[Does not correspond to anything in the English corpus; means 'laughter'.]	2024	( skratt )
1216	And the third thing about intelligence is, it's distinct.	2025	och den tredje saken om intelligens är , det är distinkt .
1217	I'm doing a new book at the moment called 'Epiphany,' which is based on a series of interviews with people about how they discovered their talent.	2026	jag håller på med en ny bok för tillfället kallad ' epiphany ' , som är baserad på en serie av intervjuer med människor om hur de upptäckte sin talang .
1218	I'm fascinated by how people got to be there.	2027	jag är fascinerad av hur människor kom dit .
1219	It's really prompted by a conversation I had with a wonderful woman who maybe most people have never heard of, Gillian Lynne.	2028	det är verkligen framkallat av en konversation jag hade men en underbar kvinna som kanske dom flesta människor aldrig hört talas om , hon heter gillian lynne , har ni hört talas om henne ?
1220	Have you heard of her?		
1221	Some have.	2029	några har .
1222	She's a choreographer, and everybody knows her work.	2030	hon är en koreograf och alla känner till hennes arbete .
1223	She did 'Cats' and 'Phantom of the Opera.'	2031	hon har gjort ' cats ' och ' fantomen på operan .'
1224	She's wonderful.	2032	hon är underbar .
1225	I used to be on the board of The Royal Ballet, as you can see.	2033	jag brukade sitta i styrelsen för den kungliga balletten , i england , som ni förstår .
1226	Anyway, Gillian and I had lunch one day and I said, 'How did you get to be a dancer?'	2034	i vilket fall , gillian och jag åt lunch en dag och jag sa , ' gillian , hur blir man en dansare ?'
1227	It was interesting.	2035	och hon sa det var intressant , när hon gick i skolan , hon var väldigt hopplös .
1228	When she was at school, she was really hopeless.		
1229	And the school, in the '30s, wrote to her parents and said, 'We think Gillian has a learning disorder.'	2036	och skolan på 30-talet , skrev till hennes föräldrar och sa , ' vi tror gillian har en inlärningssvårigheter .'
1230	She couldn't concentrate; she was fidgeting.	2037	hon kunde inte koncentrera sig , hon var otålig .
1231	I think now they'd say she had ADHD.	2038	jag tror att nu skulle de säga att hon hade adhd .
1232	Wouldn't you?	2039	skulle inte ni ?
1233	But this was the 1930s, and ADHD hadn't been invented at this point.	2040	men detta var på 1930-talet , och adhd hade inte blivit uppfunnet då .
1234	It wasn't an available condition.	2041	det var inte ett tillgängligt tillstånd .
1235	People weren't aware they could have that.	2042	( skratt ) folk var inte medvetna om att de kunde ha det .
1236	Anyway, she went to see this specialist.	2043	i vilket fall , hon fick träffa en specialist .
1237	So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes while this man talked to her mother about the problems Gillian was having at school.	2044	så , i detta rum med ek-panel och hon var där med sin mamma , och hon blev satt på en stol längst ner , och hon satt på sina händer i 20 minuter medan denna man pratade med hennes mamma om alla gillians problem i skolan .
1238	Because she was disturbing people; her homework was always late; and so on, little kid of eight.	2045	och i slutet -- eftersom hon störde folk , hennes läxor var alltid sena , och så vidare , ett litet barn på åtta år -- i slutet gick doktorn och satte sig bredvid gillian och sa , ' gillian , jag har lyssnat på alla dessa saker som din mamma berättat för mig och jag behöver prata med henne ensam .'
1239	In the end, the doctor went and sat next to Gillian, and said, 'I've listened to all these things your mother's told me, I need to speak to her privately.		
1240 1241	Wait here. We'll be back; we won't be very long,' and they went and left her.	2046 2047	han sa , ' vänta här , vi kommer tillbaka , det tar inte lång tid .' och de lämnade henne .
1242	But as they went out of the room, he turned on the radio that was sitting on his desk.	2048	men så fort dom hade lämnat rummet satte han på radion som stod på hans skrivbord .
1243	And when they got out, he said to her mother, 'Just stand and watch her.'	2049	och när dom gick ut ur rummer sa han till modern , ' stå bara och titta på henne .'
1244	And the minute they left the room, she was on her feet, moving to the music.	2050	och i det ögonblick de lämnade rummet , sa hon att hon var på fötter i rörelse till musiken .
1245	And they watched for a few minutes and he turned to her mother and said, 'Mrs.Lynne, Gillian isn't sick; she's a dancer.	2051	och de tittade under några minuter och han vände sig till modern och sa ' fru .
		2052	lynne , gillians är inte sjuk , hon är en dansare .
1246	Take her to a dance school.'	2053	ta med henne till en dansskola .'
1247	I said, 'What happened?'	2054	jag sa , ' vad hände ?'
1248	She said, 'She did.	2055	hon sa , ' hon gjorde det .
1249	I can't tell you how wonderful it was.	2056	jag kan inte säga hur underbart det var .
1250	We walked in this room and it was full of people like me.	2057	vi gick in i detta rum och det var fullt av människor som mig .
1251	People who couldn't sit still.	2058	människor som inte kunde sitta stilla .
1252	People who had to move to think.'	2059	människor som var tvungna att röra sig för att tänka .
1253	Who had to move to think.		[No translation.]
1254	They did ballet, they did tap, jazz; they did modern; they did contemporary.	2060	dom dansade ballet , dom dansad stepp , dom dansade jazz , dom dansade moderndans , dom dansade samtida dans .
1255	She was eventually auditioned for the Royal Ballet School; she became a soloist; she had a wonderful career at the Royal Ballet.	2061	hon gjorde så småning om audition för den kungliga ballett skolan , hon blev en solodansare , hon hade en fantastisk karriär vid den kungliga balletten .
1256	She eventually graduated from the Royal Ballet School, founded the Gillian Lynne Dance Company, met Andrew Lloyd Webber.	2062	hon tog examen tillslut från den kungliga ballett skolan och grundade sitt egna danskompani , the gillian lynne dance company , träffade anrew lloyd weber .
1257	She's been responsible for some of the most successful musical theater productions in history, she's given pleasure to millions, and she's a multi-millionaire.	2063	hon blev ansvarig för några av de mest framgångsrika musikal produktionerna i historien , hon har givit njutning åt miljoner , och hon är multimiljonär .
